,POST_ID,MS_PAY_STATION_ID,MS_SPACE_NUM,ON_OFFSTREET_TYPE,OSP_ID,PM_DISTRICT_ID,BLOCKFACE_ID,METER_TYPE,OLD_RATE_AREA,STREET_ID,STREET_NAME,STREET_NUM,ORIENTATION,LONGITUDE,LATITUDE,COLLECTION_ROUTE_DESC,COLLECTION_SUBROUTE_DESC,Neighborhoods,Analysis Neighborhoods
3655,380-03130,-,0,ON,0,1,380031,SS,Area 1,380,DAVIS ST,313,270,-122.3981455,37.7957597,Davis St: Unit - 600,Davis: Unit - 200,108,8
3656,327-03090,-,0,ON,0,12,327031,SS,Area 3,327,BROADWAY,309,180,-122.402564,37.7983063,Broadway St: Unit - 800,Broadway,106,23
3657,472-00350,-,0,ON,0,3,472003,SS,Area 2,472,HYDE ST,35,270,-122.415291,37.7801803,Hyde St: Unit - 1000,Hyde Unit-600,21,36
3658,442-02310,-,0,ON,0,13,442021,SS,Area 2,442,GOLDEN GATE AVE,231,180,-122.4148644,37.7816681,Golden Gate Ave: Unit - 700,Golden Gate Unit-700,21,36
3659,568-12170,-,0,ON,0,14,568121,SS,Area 2,568,MISSION ST,1217,135,-122.4135283,37.7770574,Mission St: Unit - 1600,Mission 700-1100,32,34
3660,373-02160,-,0,ON,0,2,373022,SS,Area 3,373,CHANNEL ST,216,315,-122.39207682,37.77413184,4th St: 1200-1700 China Basin,China Basin,34,4
3661,600-07310,-,0,ON,0,12,600071,SS,Area 2,600,PACIFIC AVE,731,180,-122.4078318,37.7967367,Jackson St: Unit - 800,Pacific: 600 - 800,104,6
3662,330-06120,-,0,ON,0,2,330062,SS,Area 3,330,BRANNAN ST,612,315,-122.39913952,37.77635334,Brannan St: 700 - 900 9th St,9th-11th Brannan Bryant Harrison,32,34
3663,470-08324,470-08320,4,ON,0,1,470082,MS,Area 2,470,HOWARD ST,840,315,-122.4037982,37.7825062,Howard St: 100 - 1500,Howard St: 800,32,34
3664,202-07080,-,0,ON,0,2,202072,SS,Area 1,202,02ND ST,708,225,-122.3903365,37.7803476,3rd St: Unit -600 2nd St:,Bryant 300-600 / Harrison 600,31,4
3665,380-05150,-,0,ON,0,12,380051,SS,Area 2,380,DAVIS ST,515,270,-122.3985216,37.7976221,Davis St: Unit - 600,Davis: Unit - 200,77,8
3666,841-00230,-,0,ON,0,11,841001,SS,Port 6,841,GREEN ST,23,180,-122.3997139,37.8006119,Green St; Vallejo St; Front St,Green,77,8
3667,831-04360,-,0,ON,0,2,831041,SS,Port 7,831,EMBARCADERO SOUTH,436,270,-122.3882128,37.7885359,South Embarcadero,South Embarcadero 400-700,30,8
3668,201-00100,-,0,ON,0,1,201002,SS,Area 1,201,01ST ST,10,225,-122.3988227,37.7906577,Folsom St: Unit-800 1st:,Essex 1st Fremont Beale,108,8
3669,827-03090,-,0,ON,0,2,827031,SS,Port 11,827,CHINA BASIN ST,309,180,-122.38736733,37.7720506,TERRY A FRANCOIS 400-500,TERRY A FRANCOIS 400-500,34,4
3670,837-09130,-,0,ON,0,11,837091,SS,Port 6,837,FRONT ST,913,270,-122.4001854,37.7998633,Green St; Vallejo St; Front St,Green,77,8
3671,542-08060,-,0,ON,0,15,542082,SS,Area 3,542,LARKIN ST,806,90,-122.4178752,37.785431,Larkin St: Unit - 1100,Larkin Unit-1100,20,36
3672,340-00749,-,0,ON,0,2,340002,SS,Area 2,340,BLUXOME ST,74,315,-122.3977193,37.7762557,Brannan St: 200 - 500,Bluxome St Unit block,32,34
3673,612-13060,-,0,ON,0,15,612132,SS,Area 3,612,POLK ST,1306,90,-122.4202673,37.7888911,,,50,21
3674,327-01070,-,0,ON,0,12,327011,SS,Area 3,327,BROADWAY,107,180,-122.40016611,37.7986109,Broadway St: Unit - 800,Broadway,77,8
3675,330-06200,-,0,ON,0,2,330062,SS,Area 3,330,BRANNAN ST,620,315,-122.39926377,37.77626038,Brannan St: 700 - 900 9th St,9th-11th Brannan Bryant Harrison,32,34
3676,380-00030,-,0,ON,0,1,380001,SS,Area 1,380,DAVIS ST,3,270,-122.3975289,37.7927196,Davis St: Unit - 600,Davis: Unit - 200,108,8
3677,205-06530,205-06001,53,ON,0,2,205061,MS,Area 2,205,05TH ST,653,45,-122.3977142,37.7758592,5th St: 600,"5th St St: 100, 600",32,34
